doi,in_source,in_amount_mmol,p_source,p_amount_mmol,first_sol,first_sol_amount_ml,second_sol,second_sol_amount_ml,acid,acid_amount_mmol,ligand_source,ligand_amount_mmol,other_1,other_1_amount_mmol,other_2,other_2_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm,abs_nm,emission_nm,date_input,user
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,lauric acid,0.3,None,0,None,0,None,0,7.6,270,15,None,574,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,7.6,270,15,None,540,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,7.6,270,15,None,531,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.45,None,0,None,0,None,0,7.6,270,15,None,580,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,palmitic acid,0.3,None,0,None,0,None,0,7.6,270,15,None,539,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,stearic acid,0.3,None,0,None,0,None,0,7.6,270,15,None,509,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,lauric acid,0.3,None,0,None,0,None,0,7.6,270,30,None,574,None,6/25/2021,Hao
10.1021/cm7035579,indium acetate,0.1,phosphine gas,0.3,octadecene,8.62,None,0,myristic acid,0.3,None,0,None,0,None,0,8.62,290,30,None,631,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,7.6,270,30,None,548,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,7.6,270,30,None,538,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.45,None,0,None,0,None,0,7.6,270,30,None,580,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,palmitic acid,0.3,None,0,None,0,None,0,7.6,270,30,None,549,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,stearic acid,0.3,None,0,None,0,None,0,7.6,270,30,None,518,None,6/25/2021,Hao
10.1557/jmr.2006.0068,indium trifluoroacetate,0.11,tris(trimethylsilyl)phosphine,0.1,octadecene,7,None,0,myristic acid,0.3,None,0,None,0,None,0,7,270,60,None,562,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.45,None,0,None,0,None,0,7.6,270,120,None,592,None,6/25/2021,Hao
10.1557/jmr.2006.0068,indium trifluoroacetate,0.11,tris(trimethylsilyl)phosphine,0.1,octadecene,7,None,0,myristic acid,0.3,None,0,None,0,None,0,7,270,120,None,549,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,lauric acid,0.3,None,0,None,0,None,0,7.6,270,180,None,575,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,7.6,270,180,None,550,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,myristic acid,0.3,None,0,None,0,None,0,7.6,270,180,None,550,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,palmitic acid,0.3,None,0,None,0,None,0,7.6,270,180,None,551,None,6/25/2021,Hao
10.1021/nl025687v,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.05,octadecene,7.6,None,0,stearic acid,0.3,None,0,None,0,None,0,7.6,270,180,None,538,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,7.095,178,0.2,None,498,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,7.095,178,0.2,None,476,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,7.097,178,0.2,None,491,None,6/25/2021,Hao
10.1002/cphc.200900159,indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,6.752,180,1,None,492,None,6/25/2021,Hao
10.1002/cphc.200900159,indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,6.752,150,1,None,397,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,7.095,178,1,None,530,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,7.095,178,1,None,497,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,7.097,178,1,None,522,None,6/25/2021,Hao
10.1088/0957-4484/23/48/485609/meta,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,6.699,130,1,None,419,None,6/25/2021,Hao
10.1088/0957-4484/23/48/485609/meta,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,6.699,150,1,None,431,None,6/25/2021,Hao
10.1088/0957-4484/23/48/485609/meta,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,6.699,170,1,None,446,None,6/25/2021,Hao
10.1002/cphc.200900159,indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,6.752,150,10,None,462,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,7.095,178,10,None,509,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,7.097,178,10,None,613,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,7.095,178,20,None,590,None,6/25/2021,Hao
10.1002/cphc.200900159,indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,6.752,150,30,None,500,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,7.095,178,30,None,605,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,7.095,178,30,None,518,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,7.097,178,30,None,681,None,6/25/2021,Hao
10.1088/0957-4484/23/48/485609/meta,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,6.699,170,30,None,468,None,6/25/2021,Hao
10.1088/0957-4484/23/48/485609/meta,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,6.699,150,30,None,432,None,6/25/2021,Hao
10.1088/0957-4484/23/48/485609/meta,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,6.699,130,30,None,412,None,6/25/2021,Hao
10.1088/0957-4484/23/48/485609/meta,indium chloride,0.2,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,0.7,octylamine,1.2,None,0,None,0,6.699,130,30,None,502,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.7,octylamine,3.6,None,0,None,0,7.095,178,60,None,625,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,7.25,octylamine,3.6,None,0,None,0,7.095,178,60,None,520,None,6/25/2021,Hao
10.1021/ja076363h,indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,7.097,178,60,None,692,None,6/25/2021,Hao
10.1002/cphc.200900159,indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,6.752,180,120,None,626,None,6/25/2021,Hao
10.1002/cphc.200900159,indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,6.752,150,120,None,574,None,6/25/2021,Hao
10.1021/cm401289j,indium acetate,0.4,bis(trimethylsilyl)phosphine,0.2,octadecene,7.6,None,0,myristic acid,1.45,None,0,None,0,None,0,7.6,285,8,None,537,None,6/26/2021,Hao
10.1021/cm401289j,indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,7.6,None,0,myristic acid,1.45,None,0,None,0,None,0,7.6,285,8,None,537,None,6/26/2021,Hao
10.1021/acs.chemmater.7b02204,indium acetate,0.15,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,1,palmitic acid,0.45,None,0,None,0,None,0,11,305,15,None,486,None,6/26/2021,Hao
10.1021/acs.chemmater.7b02204,indium acetate,0.15,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,1,palmitic acid,0.45,None,0,None,0,None,0,11,305,180,None,499,None,6/26/2021,Hao
10.1007/s11051-013-1750-y,indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,None,0,None,0,5.002,220,1,None,571,None,6/26/2021,Hao
10.1007/s11051-013-1750-y,indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,None,0,None,0,5.002,220,30,None,602,None,6/26/2021,Hao
10.1021/cm401289j,indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,7.6,None,0,None,0,None,0,tetrabutylammonium myristate,0.24,None,0,7.6,285,8,None,545,None,6/26/2021,Hao
