in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,abs_nm
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,None,0,zinc chloride,4.4,None,0,5.66,220,20,592
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,None,0,zinc chloride,4.4,None,0,5.66,140,30,440
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,None,0,zinc chloride,4.4,None,0,5.66,140,30,410
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,None,0,zinc chloride,4.4,None,0,5.66,160,30,492
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,None,0,zinc chloride,4.4,None,0,5.66,180,30,550
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,None,0,zinc chloride,4.4,None,0,5.66,220,30,600
indium chloride,0.45,tris(dimethylamino)phosphine,1.93,None,0,None,0,None,0,oleylamine,15.2,None,0,zinc chloride,2.2,copper bromide,0.45,5.002,200,60,420
indium chloride,0.45,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,dodecylamine,3.7,None,0,zinc chloride,2.2,None,0,0.85,180,5,550
indium chloride,0.225,tris(diethylamino)phosphine,0.8,None,0,None,0,None,0,oleylamine,7.5,None,0,zinc chloride,1.1,None,0,2.468,180,30,560
indium chloride,0.45,tris(dimethylamino)phosphine,1.93,None,0,None,0,None,0,oleylamine,15.2,None,0,zinc chloride,2.2,None,0,5.002,200,60,590
indium iodide,0.9,tris(dimethylamino)phosphine,1.3,None,0,None,0,None,0,oleylamine,6,None,0,zinc chloride,2.2,None,0,1.975,180,2,485
indium chloride,0.5,tris(dimethylamino)phosphine,2.75,None,0,None,0,None,0,oleylamine,6.15,None,0,zinc chloride,1.5,zinc iodide,0.5,2.024,180,30,490
indium chloride,0.45,tris(diethylamino)phosphine,0,None,0,None,0,None,0,oleylamine,15,None,0,None,0,None,0,4.936,180,3,490
indium chloride,0.45,tris(diethylamino)phosphine,0,None,0,None,0,None,0,oleylamine,15,None,0,None,0,None,0,4.936,180,120,550
indium iodide,0.45,tris(dimethylamino)phosphine,1,None,0,None,0,None,0,oleylamine,3.7,None,0,zinc chloride,1.1,None,0,1.218,180,3,480
indium acetate,1,tris(trimethylsilyl)phosphine,1,None,0,None,0,None,0,None,0,dodecanethiol,0.5,zinc stearate,2,None,0,0.12,300,30,539
