in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.4,octadecene,3,None,0,None,0,oleylamine,1.5,None,0,None,0,None,0,3.494,178,4,1.5
indium acetate,1.2,tris(trimethylsilyl)phosphine,1.2,octadecene,3,None,0,None,0,oleylamine,1.5,None,0,None,0,None,0,3.494,178,32,2.5
indium myristate,2,tris(trimethylsilyl)phosphine,0.15,octadecene,5,trioctylphosphine,2.242095008,None,0,None,0,None,0,None,0,None,0,6,300,30,3
indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,10.14,None,0,oleic acid,14.5,None,0,None,0,None,0,None,0,15,305,20,3.1
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,octadecene,10,None,0,myristic acid,0.6,None,0,None,0,None,0,None,0,10,300,20,4
indium acetate,1.2,tris(trimethylsilyl)phosphine,1.2,octadecene,3,None,0,None,0,dioctylamine,0.5,None,0,None,0,None,0,3.151,178,840,6.7
indium acetate,0.6,tris(trimethylsilyl)phosphine,0.4,octadecene,10,trioctylphosphine,2.242095008,lauric acid,1.8,None,0,None,0,zinc acetate,1.2,oleic acid,2.4,11,240,60,2
indium acetate,0.6,tris(trimethylsilyl)phosphine,0.4,octadecene,10,trioctylphosphine,2.242095008,lauric acid,1.8,None,0,None,0,zinc oleate,1.2,None,0,11,240,60,2
indium acetate,3,tris(trimethylsilyl)phosphine,1.5,octadecene,45,trioctylphosphine,6.726285025,oleic acid,9,None,0,None,0,None,0,None,0,48,260,60,2.4
indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,100,trioctylphosphine,22.42095008,palmitic acid,12,None,0,None,0,None,0,None,0,110,260,40,2.7
indium acetate,0.34,tris(trimethylsilyl)phosphine,0.23,octadecene,9,None,0,oleic acid,1,None,0,None,0,None,0,None,0,9,310,10,3.2
indium acetate,0.08,tris(trimethylsilyl)phosphine,0.08,octadecene,7,None,0,myristic acid,0.26,octylamine,0.38,None,0,None,0,None,0,7.063,200,30,2.1
indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,17,None,0,myristic acid,14.5,None,0,None,0,None,0,None,0,17,285,20,2.4
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,1.121047504,palmitic acid,0.6,None,0,None,0,None,0,None,0,10.5,280,20,2.5
indium chloride,0.1,tris(trimethylsilyl)phosphine,0.2,octadecene,6,None,0,stearic acid,0.01,hexadecylamine,0.2,None,0,zinc undecylenate,0.01,None,0,6.052,230,20,3.2
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,1.121047504,palmitic acid,0.6,None,0,None,0,None,0,None,0,10.5,280,20,3.26
indium chloride,0.3,tris(trimethylsilyl)phosphine,0.3,octadecene,9,None,0,oleic acid,0.34,oleylamine,0.62,None,0,zinc undecylenate,0.3,None,0,9.204,210,20,1.95
indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,2,230,15,4.5
indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,2,260,15,4.5
indium chloride,1.81,tris(dimethylamino)phosphine,2.75,toluene,5,None,0,None,0,dodecylamine,27,None,0,None,0,None,0,11.198,180,1440,2.3
indium chloride,1.81,tris(dimethylamino)phosphine,2.75,toluene,5,None,0,None,0,dodecylamine,27,None,0,None,0,None,0,11.198,180,1440,3.2
chloroindium oxalate,0.88,tris(trimethylsilyl)phosphine,1.4,None,0,trioctylphosphine,13.49034301,None,0,None,0,None,0,None,0,trioctylphosphine oxide,5.555555556,11.573,270,4320,2.52
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,250,4320,2.6
chloroindium oxalate,0.88,tris(trimethylsilyl)phosphine,0.52,None,0,trioctylphosphine,13.49034301,None,0,None,0,None,0,None,0,trioctylphosphine oxide,5.555555556,11.573,270,4320,2.6
chloroindium oxalate,0.88,tris(trimethylsilyl)phosphine,1.4,None,0,trioctylphosphine,13.49034301,None,0,None,0,None,0,None,0,trioctylphosphine oxide,5.555555556,11.573,270,8640,2.66
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,260,4320,3
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,270,4320,3.5
chloroindium oxalate,1.76,tris(trimethylsilyl)phosphine,1.04,None,0,trioctylphosphine,5.396137205,None,0,None,0,None,0,None,0,trioctylphosphine oxide,0.222222222,2.629,270,4320,3.5
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,280,4320,4.2
chloroindium oxalate,1.76,tris(trimethylsilyl)phosphine,1.04,None,0,trioctylphosphine,5.396137205,None,0,None,0,None,0,None,0,trioctylphosphine oxide,0.222222222,2.629,300,4320,4.6
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,290,4320,4.8
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,None,0,trioctylphosphine,24.55242427,None,0,None,0,None,0,None,0,trioctylphosphine oxide,1.011111111,11.962,300,4320,6
indium chloride,2.26,tris(trimethylsilyl)phosphine,2,None,0,trioctylphosphine,17.93676007,None,0,None,0,None,0,None,0,trioctylphosphine oxide,0.83,8.83,270,1140,5
indium chloride,0.1,tris(trimethylsilyl)phosphine,0.1,None,0,trioctylphosphine,11.21047504,None,0,None,0,None,0,zinc oleate,2,None,0,5,280,60,2.3
chloroindium oxalate,1.05,tris(trimethylsilyl)phosphine,1.4,None,0,None,0,None,0,None,0,None,0,None,0,trioctylphosphine oxide,0.222222222,0.223,270,4320,2.61
